,SampleID,family_Desulfovibrionaceae+gut,genus_Prevotella+gut,order_Desulfovibrionales+gut,class_Verrucomicrobiae+gut,family_Coriobacteriaceae+gut,class_Actinobacteria+gut,order_Selenomonadales+gut,genus_unclassified_Clostridiales+gut,genus_Lachnospiracea_incertae_sedis+gut,genus_Bilophila+gut,order_Burkholderiales+gut,family_unclassified_Bacteria+gut,order_Bacteroidales+gut,genus_Collinsella+gut,genus_Clostridium.XI+gut,family_unclassified_Firmicutes+gut,order_Erysipelotrichales+gut,genus_Bacteroides+gut,order_Verrucomicrobiales+gut,genus_unclassified_Porphyromonadaceae+gut,family_Acidaminococcaceae+gut,order_unclassified_Bacteria+gut,order_Clostridiales+gut,genus_Alistipes+gut,genus_Blautia+gut,genus_unclassified_Firmicutes+gut,order_unclassified_Firmicutes+gut,genus_unclassified_Bacteria+gut,family_Enterobacteriaceae+gut,class_Clostridia+gut,family_Verrucomicrobiaceae+gut,genus_Anaerovorax+gut,class_Bacteroidia+gut,family_Erysipelotrichaceae+gut,genus_Streptococcus+gut,genus_unclassified_Clostridiales_Incertae.Sedis.XIII+gut,order_Enterobacteriales+gut,genus_Akkermansia+gut,class_unclassified_Bacteria+gut,family_Sutterellaceae+gut,order_Coriobacteriales+gut,family_Veillonellaceae+gut,genus_Clostridium.sensu.stricto+gut,order_Clostridiales+gut,class_Clostridia+gut,phylum_Firmicutes+gut
10,ZOZOW1T-1042,0.000459242,0.0,0.000459242,0.000137773,0.003122847,0.003122847,0.015614237,0.015752009,0.065855339,0.000183697,0.014879449,0.030080367,0.466039036,0.00206659,0.00532721,0.000642939,0.002158439,0.351549943,0.000137773,0.002847302,0.015246843,0.030080367,0.462732491,0.04684271,0.012445465,0.000642939,0.000642939,0.030080367,4.59e-05,0.463145809,0.000137773,0.00087256,0.466039036,0.002158439,0.0,0.00032147,4.59e-05,0.000137773,0.030080367,0.014006889,0.003122847,0.000367394,0.000688863,0.462732491,0.463145809,0.481561424
11,ZOZOW1T-1043,0.000396563,0.0,0.000396563,0.002335316,0.003569068,0.003613131,0.007094074,0.010178453,0.051817581,0.000132188,0.015289711,0.101476096,0.367041199,0.002996255,0.00326063,0.005243446,0.000705001,0.268825733,0.002335316,0.002467504,0.007050011,0.101476096,0.437365058,0.018021591,0.013395021,0.005243446,0.005243446,0.101476096,8.81e-05,0.437541309,0.002335316,8.81e-05,0.367041199,0.000705001,0.000308438,0.000308438,8.81e-05,0.002335316,0.101476096,0.015201586,0.003569068,4.41e-05,0.00017625,0.437365058,0.437541309,0.450892267
12,ZOZOW1T-2001,0.0,0.0,0.0,0.000520932,0.000331502,0.00037886,0.000284145,0.061138473,0.029361622,0.0,0.001183936,0.031729494,0.706573215,4.74e-05,0.008287554,0.00558818,0.004214813,0.644819095,0.000520932,0.00018943,0.000284145,0.031729494,0.238586854,0.018137905,0.007198333,0.00558818,0.00558818,0.031729494,0.0,0.238586854,0.000520932,0.000426217,0.706573215,0.004214813,0.0,0.00037886,0.0,0.000520932,0.031729494,0.001089221,0.000331502,0.0,0.000426217,0.238586854,0.238586854,0.248673991
13,ZOZOW1T-2002,0.0,0.0,0.0,0.000421692,0.000210846,0.000210846,0.000337353,0.035042591,0.020705069,0.0,0.001897613,0.049169267,0.663110399,4.22e-05,0.00307835,0.008813359,0.004301257,0.57636839,0.000421692,4.22e-05,0.000337353,0.049169267,0.249641562,0.022771359,0.004090411,0.008813359,0.008813359,0.049169267,0.0,0.249641562,0.000421692,0.000126508,0.663110399,0.004301257,4.22e-05,0.000337353,0.0,0.000421692,0.049169267,0.001813275,0.000210846,0.0,0.000295184,0.249641562,0.249641562,0.26317787
14,ZOZOW1T-4021,0.0,0.0,0.0,0.0,0.0,5.75e-05,0.010298602,0.006789022,0.100972326,0.0,0.006271216,0.022668431,0.629365399,0.0,0.0,5.75e-05,0.000863011,0.54214372,0.0,0.001323284,0.010298602,0.022668431,0.283585524,0.010068466,0.006156148,5.75e-05,5.75e-05,0.022668431,5.75e-05,0.283585524,0.0,5.75e-05,0.629365399,0.000863011,0.000115068,0.000172602,5.75e-05,0.0,0.022668431,0.006041079,0.0,0.0,0.0,0.283585524,0.283585524,0.29491974
15,ZOZOW1T-4021-1A,0.0,2.59e-05,0.0,0.0,0.000492356,0.000570096,0.011220523,0.002021249,0.080253952,0.0,0.020031096,0.009380669,0.61870951,0.0,0.00668567,0.000155481,0.000570096,0.56258098,0.0,0.003291008,0.01111687,0.009380669,0.323840373,0.001710288,0.013656388,0.000155481,0.000155481,0.009380669,5.18e-05,0.323840373,0.0,5.18e-05,0.61870951,0.000570096,0.000103654,5.18e-05,5.18e-05,0.0,0.009380669,0.020031096,0.000492356,0.000103654,0.0,0.323840373,0.323840373,0.336045608
16,ZOZOW1T-4021-1B,0.0,0.0,0.0,0.0,0.0,6.44e-05,0.019779653,0.006314026,0.135107274,0.0,0.009020037,0.010566329,0.487339733,0.0,0.001997294,0.000773146,0.001030861,0.436376522,0.0,0.000451002,0.019586367,0.010566329,0.469299659,0.005476451,0.012434766,0.000773146,0.000773146,0.010566329,0.0,0.469299659,0.0,0.000386573,0.487339733,0.001030861,0.000322144,0.0,0.0,0.0,0.010566329,0.009020037,0.0,0.000193287,0.0,0.469299659,0.469299659,0.491205464
17,ZOZOW1T-4023,0.000643547,7.15e-05,0.000643547,0.0,7.15e-05,7.15e-05,0.015230604,0.010439757,0.091669646,0.000572041,0.035681087,0.006864498,0.504326064,0.0,0.00400429,0.00014301,0.000572041,0.350732928,0.0,0.000286021,0.015230604,0.006864498,0.432892385,0.02717197,0.005148373,0.00014301,0.00014301,0.006864498,0.0,0.432892385,0.0,0.000429031,0.504326064,0.000572041,0.000357526,0.0,0.0,0.0,0.006864498,0.035681087,7.15e-05,0.0,0.000357526,0.432892385,0.432892385,0.449195567
18,ZOZOW1T-4023-1,0.00170858,5.34e-05,0.00170858,0.001601794,0.002509477,0.002669657,0.007795398,0.013615249,0.057771371,0.000480538,0.020876715,0.032516418,0.41352982,0.001761973,0.003363767,0.003363767,0.001121256,0.326018474,0.001601794,0.000160179,0.007795398,0.032516418,0.490789684,0.037962518,0.010998986,0.003363767,0.003363767,0.032516418,0.0,0.490896471,0.001601794,0.000266966,0.41352982,0.001121256,0.000213573,0.0,0.0,0.001601794,0.032516418,0.020289391,0.002509477,0.0,0.000160179,0.490789684,0.490896471,0.503390464
19,ZOZOW1T-4023-3,0.001045947,0.0,0.001045947,0.000298842,0.002166604,0.002166604,0.014045573,0.008218155,0.089876728,0.000298842,0.006649234,0.018453493,0.47964139,0.00156892,0.001344789,0.001344789,0.001718341,0.422338439,0.000298842,0.000149421,0.014045573,0.018453493,0.465521106,0.009488233,0.023533806,0.001344789,0.001344789,0.018453493,0.0,0.465595816,0.000298842,0.000373552,0.47964139,0.001718341,0.0,7.47e-05,0.0,0.000298842,0.018453493,0.006499813,0.002166604,0.0,0.000224131,0.465521106,0.465595816,0.48270452
20,ZOZOW1T-4024,0.000356405,0.000356405,0.000356405,0.0,0.003706608,0.003706608,0.018533039,0.016679735,0.065863568,7.13e-05,0.022097085,0.029225176,0.460831136,0.003350203,0.001782023,0.005559912,0.002067147,0.374367382,0.0,0.000356405,0.018533039,0.029225176,0.430608026,0.041271652,0.010549576,0.005559912,0.005559912,0.029225176,0.0,0.430608026,0.0,0.000356405,0.460831136,0.002067147,0.0,7.13e-05,0.0,0.0,0.029225176,0.021455556,0.003706608,0.0,0.000641528,0.430608026,0.430608026,0.456768123
21,ZOZOW1T-4024-1,0.00153943,0.000279896,0.00153943,0.0,0.001609405,0.001609405,0.013295081,0.015254356,0.112658316,7e-05,0.010426142,0.020082569,0.487929466,0.001049612,0.000139948,0.001889301,0.000839689,0.376880554,0.0,0.000489819,0.013295081,0.020082569,0.390455531,0.023511301,0.01259534,0.001889301,0.001889301,0.020082569,0.0,0.390525506,0.0,0.000559793,0.487929466,0.000839689,0.0,0.000279896,0.0,0.0,0.020082569,0.010146246,0.001609405,0.0,0.0,0.390455531,0.390525506,0.406619551
22,ZOZOW1T-4024-2,3.92e-05,0.000469968,3.92e-05,0.0,0.001553505,0.001566559,0.012793567,0.011305335,0.123222934,0.0,0.007754468,0.015887521,0.490346079,0.00114881,0.002036527,0.002415112,0.000718006,0.417514132,0.0,0.001449067,0.012780512,0.015887521,0.456795603,0.01748019,0.017597681,0.002415112,0.002415112,0.015887521,0.0,0.456873931,0.0,0.000313312,0.490346079,0.000718006,2.61e-05,0.000130547,0.0,0.0,0.015887521,0.007571703,0.001553505,1.31e-05,0.000430804,0.456795603,0.456873931,0.472878944
23,ZOZOW1T-4025,0.000413522,0.000137841,0.000413522,0.0,0.002033151,0.002033151,0.00751232,0.010820497,0.032082429,6.89e-05,0.011957683,0.075881319,0.551466281,0.001447328,0.000620283,0.005237948,0.001447328,0.457286605,0.0,0.000379062,0.00751232,0.075881319,0.309142286,0.020469348,0.005375788,0.005237948,0.005237948,0.075881319,0.005134567,0.309245667,0.0,0.000689204,0.551466281,0.001447328,3.45e-05,0.000137841,0.005134567,0.0,0.075881319,0.011682001,0.002033151,0.0,0.000172301,0.309142286,0.309245667,0.323477721
24,ZOZOW1T-4025-1,0.001350325,0.0,0.001350325,0.0,0.000675162,0.000759558,0.004979323,0.007426787,0.048442907,0.000337581,0.017554224,0.023799477,0.500801755,0.000506372,0.000253186,0.003797789,0.000675162,0.369398261,0.0,0.002531859,0.004979323,0.023799477,0.388640392,0.031901426,0.007173601,0.003797789,0.003797789,0.023799477,0.004894928,0.388640392,0.0,0.000253186,0.500801755,0.000675162,8.44e-05,0.0,0.004894928,0.0,0.023799477,0.017301038,0.000675162,0.0,0.000337581,0.388640392,0.388640392,0.398430247
25,ZOZOW1T-4025-3,7.04e-05,0.0,7.04e-05,0.0,0.001393777,0.001436013,0.006504294,0.005786287,0.088216247,1.41e-05,0.013078981,0.014472758,0.494284105,0.001182599,0.00049275,0.00126707,0.000351964,0.410375898,0.0,0.000718006,0.006391665,0.014472758,0.447810784,0.016288892,0.019949317,0.00126707,0.00126707,0.014472758,0.000112628,0.447824863,0.0,0.000225257,0.494284105,0.000351964,2.82e-05,0.000168943,0.000112628,0.0,0.014472758,0.013022666,0.001393777,0.000112628,0.001633113,0.447810784,0.447824863,0.456004505
26,ZOZOW1T-4025-4,0.000102743,0.0,0.000102743,0.0,0.001130176,0.001130176,0.006404329,0.00972636,0.075961506,3.42e-05,0.017432104,0.025959793,0.406931744,0.000856194,0.000650707,0.003287784,0.000993185,0.346210487,0.0,0.004657694,0.006301586,0.025959793,0.498715709,0.023493955,0.011918216,0.003287784,0.003287784,0.025959793,0.0,0.498921196,0.0,0.000445221,0.406931744,0.000993185,3.42e-05,0.000205486,0.0,0.0,0.025959793,0.016918388,0.001130176,0.000102743,0.003869996,0.498715709,0.498921196,0.509640741
27,ZOZOW1T-4025-5,6.18e-05,0.0,6.18e-05,0.0,0.001792004,0.002039177,0.005684978,0.008280294,0.076067478,0.0,0.010319471,0.043069888,0.389173824,0.001421245,0.001235865,0.007229809,0.000741519,0.333992461,0.0,0.003027869,0.005623185,0.043069888,0.508990916,0.019217698,0.017302107,0.007229809,0.007229809,0.043069888,0.0,0.50905271,0.0,0.00018538,0.389173824,0.000741519,6.18e-05,0.000123586,0.0,0.0,0.043069888,0.009948712,0.001792004,6.18e-05,0.000679726,0.508990916,0.50905271,0.523017982
28,ZOZOW1T-4026,0.000211274,8.45e-05,0.000211274,0.004521254,0.018845601,0.018972365,0.015887771,0.018254035,0.073354179,4.23e-05,0.01470464,0.124651399,0.210681991,0.01829629,0.001183132,0.008408688,0.002450773,0.161708781,0.004521254,0.0,0.015549734,0.124651399,0.549607031,0.01094397,0.012296121,0.008408688,0.008408688,0.124651399,4.23e-05,0.549649286,0.004521254,0.000211274,0.210681991,0.002450773,4.23e-05,0.000295783,4.23e-05,0.004521254,0.124651399,0.01462013,0.018845601,0.000338038,0.000845094,0.549607031,0.549649286,0.576438773
29,ZOZOW1T-4026-1,0.000427107,0.0,0.000427107,0.0,0.002562642,0.002633827,0.009325171,0.014094533,0.057374715,0.000213554,0.01089123,0.07417426,0.325384396,0.001850797,0.000355923,0.017796128,0.001352506,0.260962415,0.0,0.000355923,0.009325171,0.07417426,0.458570615,0.033883827,0.012030182,0.017796128,0.017796128,0.07417426,0.0,0.4586418,0.0,0.000213554,0.325384396,0.001352506,0.0,0.000213554,0.0,0.0,0.07417426,0.01089123,0.002562642,0.0,0.020857062,0.458570615,0.4586418,0.487186788
30,ZOZOW1T-4026-2,0.0,0.0,0.0,0.0,0.002299002,0.002364687,0.008539149,0.01596164,0.094915922,0.0,0.001182344,0.035733053,0.397858644,0.00170783,0.001050972,0.002299002,0.001050972,0.331975828,0.0,0.002561745,0.00821072,0.035733053,0.549461377,0.031791908,0.018654756,0.002299002,0.002299002,0.035733053,6.57e-05,0.54972412,0.0,0.000525486,0.397858644,0.001050972,0.000197057,0.000525486,6.57e-05,0.0,0.035733053,0.000853915,0.002299002,0.000328429,0.000788229,0.549461377,0.54972412,0.5618103
31,ZOZOW1T-4026-3,0.000374719,6.25e-05,0.000374719,0.0,0.001061704,0.001124157,0.00593305,0.005620784,0.060579565,0.000187359,0.021671247,0.041593805,0.539907569,0.000811891,0.000686985,0.002248314,0.000249813,0.468710967,0.0,0.005183612,0.00593305,0.041593805,0.338183862,0.016737447,0.008181364,0.002248314,0.002248314,0.041593805,0.0,0.338183862,0.0,0.000124906,0.539907569,0.000249813,0.0,0.0,0.0,0.0,0.041593805,0.021046715,0.001061704,0.0,0.000187359,0.338183862,0.338183862,0.346615039
32,ZOZOW1T-4026-4,0.000205948,4.12e-05,0.000205948,0.0,0.001935909,0.001935909,0.006755087,0.007043414,0.036370376,4.12e-05,0.018576489,0.120561826,0.51293352,0.001565203,0.001359255,0.005066315,0.000617843,0.429442293,0.0,0.006878656,0.006755087,0.120561826,0.270450614,0.03138644,0.016928907,0.005066315,0.005066315,0.120561826,0.0,0.270532993,0.0,0.000164758,0.51293352,0.000617843,0.0,0.000247137,0.0,0.0,0.120561826,0.017917456,0.001935909,0.0,8.24e-05,0.270450614,0.270532993,0.283136996
33,ZOZOW1T-4026-5,5.5e-05,0.0,5.5e-05,0.0,0.001319,0.001373959,0.004330717,0.011881993,0.053936116,2.2e-05,0.021104003,0.096254039,0.382158324,0.001099167,0.001329992,0.024654312,0.0006595,0.290333927,0.0,0.001340984,0.004308734,0.096254039,0.387764075,0.050847458,0.012816285,0.024654312,0.024654312,0.096254039,7.69e-05,0.387830025,0.0,0.000120908,0.382158324,0.0006595,7.69e-05,0.000153883,7.69e-05,0.0,0.096254039,0.020301611,0.001319,2.2e-05,0.000692475,0.387764075,0.387830025,0.417584471
34,ZOZOW1T-44,0.002048084,0.000672505,0.002048084,9.17e-05,0.005288337,0.0055176,0.0037752,0.022987452,0.038409219,0.000825347,0.010790652,0.1301909,0.481819432,0.003224968,0.001528421,0.010561389,0.01818821,0.320555734,9.17e-05,4.59e-05,0.003759916,0.1301909,0.291454598,0.077643786,0.028764883,0.010561389,0.010561389,0.1301909,0.001192168,0.291515735,9.17e-05,0.000412674,0.481819432,0.01818821,9.17e-05,0.000550232,0.001192168,9.17e-05,0.1301909,0.010515536,0.005288337,1.53e-05,0.000993474,0.291454598,0.291515735,0.324147523
35,ZOZOW1T-46,0.000333014,0.00012488,0.000333014,0.000208134,0.002664114,0.002664114,0.001373684,0.015443533,0.055197103,0.0,0.000541148,0.060483703,0.549265287,0.000249761,0.004245931,0.00387129,0.01561004,0.358406527,0.000208134,0.0,0.001373684,0.060483703,0.351746243,0.12879324,0.074262165,0.00387129,0.00387129,0.060483703,0.0,0.351746243,0.000208134,0.000499521,0.549265287,0.01561004,0.0,0.001207176,0.0,0.000208134,0.060483703,0.000457895,0.002664114,0.0,0.001998085,0.351746243,0.351746243,0.372601257
36,ZOZOW1T-48b,0.002637413,0.000573351,0.002637413,3.82e-05,0.016952068,0.017276967,0.008734042,0.026488801,0.044836022,0.001299595,0.006211299,0.089366256,0.402473053,0.008390031,0.003497439,0.018022322,0.005485055,0.248929745,3.82e-05,3.82e-05,0.008676707,0.089366256,0.421126061,0.076809877,0.065381087,0.018022322,0.018022322,0.089366256,0.000133782,0.421412736,3.82e-05,0.000726244,0.402473053,0.005485055,0.00181561,0.002962312,0.000133782,3.82e-05,0.089366256,0.006039294,0.016952068,5.73e-05,0.002140509,0.421126061,0.421412736,0.4555271
37,ZOZOW1T-49,0.001752212,2.14e-05,0.001752212,0.001025685,0.018547801,0.018825591,0.011047481,0.041176973,0.050130347,0.000576948,0.007799479,0.081007735,0.353989487,0.014765588,0.009914954,0.014573272,0.005213898,0.264840378,0.001025685,0.0,0.011026112,0.081007735,0.487157571,0.047822557,0.056583615,0.014573272,0.014573272,0.081007735,0.00068379,0.48743536,0.001025685,0.000406,0.353989487,0.005213898,0.000213684,0.001666738,0.00068379,0.001025685,0.081007735,0.007414847,0.018547801,2.14e-05,0.02224454,0.487157571,0.48743536,0.51856917
38,ZOZOW1T-53,0.001094825,8.94e-05,0.001094825,0.001541693,0.007462687,0.007641434,0.003664313,0.01715971,0.068862275,0.000178747,0.012624006,0.064170167,0.275292698,0.00563053,0.011909018,0.01861203,0.015774421,0.205357941,0.001541693,0.0,0.003664313,0.064170167,0.554942354,0.016601126,0.04723389,0.01861203,0.01861203,0.064170167,0.000156404,0.554964697,0.001541693,0.000312807,0.275292698,0.015774421,0.000111717,0.000782018,0.000156404,0.001541693,0.064170167,0.012400572,0.007462687,0.0,0.002390741,0.554942354,0.554964697,0.593328269
39,ZOZOW1T-54,0.00169129,6.22e-05,0.00169129,0.008593245,0.008170422,0.008419141,0.00448938,0.025680247,0.071183405,0.000621798,0.011689798,0.104673432,0.299134458,0.005347461,0.005459384,0.053039347,0.013331344,0.228871313,0.008593245,0.0,0.00448938,0.104673432,0.462592648,0.016975078,0.033440283,0.053039347,0.053039347,0.104673432,0.00012436,0.462717007,0.008593245,0.00046013,0.299134458,0.013331344,7.46e-05,0.001193852,0.00012436,0.008593245,0.104673432,0.011540566,0.008170422,0.0,0.002375267,0.462592648,0.462717007,0.533838233
40,ZOZOW1T-54b,0.001431046,0.0,0.001431046,0.003238683,0.008736913,0.009113505,0.00562376,0.020135071,0.06713364,0.000527228,0.020436344,0.064698351,0.392131757,0.005397806,0.009665838,0.015892144,0.025156285,0.276116593,0.003238683,0.0,0.00562376,0.064698351,0.449172755,0.038336974,0.029876227,0.015892144,0.015892144,0.064698351,0.004016972,0.449222967,0.003238683,0.000301273,0.392131757,0.025156285,0.000301273,0.001004243,0.004016972,0.003238683,0.064698351,0.020210389,0.008736913,0.0,0.000903819,0.449172755,0.449222967,0.49632196
41,ZOZOW1T-55,0.001703911,0.0,0.001703911,0.000470044,0.011202726,0.013122074,0.006286845,0.014160089,0.057090817,0.0005288,0.017176208,0.07428661,0.353434262,0.008597897,0.003917037,0.017313304,0.025637008,0.268512897,0.000470044,0.0,0.006286845,0.07428661,0.449225406,0.023482638,0.03474412,0.017313304,0.017313304,0.07428661,7.83e-05,0.449284161,0.000470044,0.000430874,0.353434262,0.025637008,0.000293778,0.001077185,7.83e-05,0.000470044,0.07428661,0.017039112,0.011202726,0.0,0.0015864,0.449225406,0.449284161,0.499069704
42,ZOZOW1T-56,0.001605824,2.68e-05,0.001605824,0.000321165,0.010839311,0.012311316,0.003880741,0.017557007,0.064955572,0.000267637,0.012016915,0.091612247,0.305481212,0.00768119,0.015951183,0.0051654,0.033695536,0.1874264,0.000321165,0.0,0.003880741,0.091612247,0.513248046,0.040948507,0.070923884,0.0051654,0.0051654,0.091612247,2.68e-05,0.513328337,0.000321165,0.00042822,0.305481212,0.033695536,0.000267637,0.00115084,2.68e-05,0.000321165,0.091612247,0.011749277,0.010839311,0.0,0.002836955,0.513248046,0.513328337,0.557167327
43,ZOZOW1T-57,0.000816822,0.0,0.000816822,9.34e-05,0.007398072,0.009125067,0.009428458,0.028588765,0.074960909,0.0,0.001750333,0.069476534,0.490139793,0.004084109,0.006324535,0.003687367,0.028938832,0.208686317,9.34e-05,0.0,0.009358445,0.069476534,0.38040561,0.096758384,0.024131252,0.003687367,0.003687367,0.069476534,4.67e-05,0.380498961,9.34e-05,0.000980186,0.490139793,0.028938832,0.003664029,0.000746809,4.67e-05,9.34e-05,0.069476534,0.001423604,0.007398072,7e-05,0.000303391,0.38040561,0.380498961,0.427081145
